locus_tag	ftype	length_bp	gene	EC_number	COG	product
JIEPOILB_00001	CDS	1404	dnaA_1	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
JIEPOILB_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
JIEPOILB_00003	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
JIEPOILB_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
JIEPOILB_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
JIEPOILB_00006	CDS	1062				hypothetical protein
JIEPOILB_00007	CDS	1134				hypothetical protein
JIEPOILB_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
JIEPOILB_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
JIEPOILB_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
JIEPOILB_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
JIEPOILB_00012	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
JIEPOILB_00013	CDS	1227				hypothetical protein
JIEPOILB_00014	CDS	333				hypothetical protein
JIEPOILB_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
JIEPOILB_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
JIEPOILB_00017	CDS	561				hypothetical protein
JIEPOILB_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
JIEPOILB_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
JIEPOILB_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
JIEPOILB_00021	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
JIEPOILB_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
JIEPOILB_00023	CDS	363	yidG			Inner membrane protein YidG
JIEPOILB_00024	CDS	501				hypothetical protein
JIEPOILB_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
JIEPOILB_00026	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
JIEPOILB_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
JIEPOILB_00028	CDS	1185	emrD		COG2814	Multidrug resistance protein D
JIEPOILB_00029	CDS	834				hypothetical protein
JIEPOILB_00030	CDS	447				hypothetical protein
JIEPOILB_00031	CDS	90				hypothetical protein
JIEPOILB_00032	CDS	96				hypothetical protein
JIEPOILB_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
JIEPOILB_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
JIEPOILB_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
JIEPOILB_00036	CDS	1503	uhpB	2.7.13.3	COG3851	Signal transduction histidine-protein kinase/phosphatase UhpB
JIEPOILB_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
JIEPOILB_00038	CDS	1392	uhpT			hexose phosphate transporter UhpT
JIEPOILB_00039	CDS	453				hypothetical protein
JIEPOILB_00040	CDS	324				hypothetical protein
JIEPOILB_00041	CDS	360				hypothetical protein
JIEPOILB_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
JIEPOILB_00043	CDS	810	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
JIEPOILB_00044	CDS	1104	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
JIEPOILB_00045	CDS	720	phnR			Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
JIEPOILB_00046	CDS	1014	phnS			Putative 2-aminoethylphosphonate-binding periplasmic protein
JIEPOILB_00047	CDS	1113	phnT			Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
JIEPOILB_00048	CDS	861	phnU			Putative 2-aminoethylphosphonate transport system permease protein PhnU
JIEPOILB_00049	CDS	798	phnV			Putative 2-aminoethylphosphonate transport system permease protein PhnV
JIEPOILB_00050	CDS	1380	lamB_1			Maltoporin
JIEPOILB_00051	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
